State,Medical School,Course,Required or Recommended?,Lab?,Credit Hours,Pass/Fail,AP Credit,Online Course,Community College,Additional Info,,,,,,,
AL,University of Alabama School of Medicine,Behavioral Sciences,Required,N,3,,Y,Y,Y,"Behavioral or social science coursework that
addresses the biological, psychological, and/or
sociocultural factors that influence perceptions,
behaviors, interactions and well-being will be
accepted.",,,,,,,
AL,University of Alabama School of Medicine,Biochemistry,Required,N,3,,N,Y,Y,"Any sequence of chemistry courses that includes
Biochemistry will satisfy this requirement.",,,,,,,
AL,University of Alabama School of Medicine,Biology,Required,N,8,,Y,Y,Y,"Applicants with AP credit are expected to take 8
hours of advanced bio coursework. Laboratory
courses should be completed in-person; however,
online labs will be accepted during the COVID-19
pandemic.",,,,,,,
AL,University of Alabama School of Medicine,Biology/Zoology,,N,,,,,,,,,,,,,
AL,University of Alabama School of Medicine,Calculus,,N,,,,,,,,,,,,,
AL,University of Alabama School of Medicine,College English,Required,N,6,,Y,Y,Y,,,,,,,,
AL,University of Alabama School of Medicine,College Mathematics,Required,N,6,,Y,Y,Y,"3hr course in biostats or stats expected. 6hrs of
college level courses not biostat/stats will also meet
requirement. AP/CLEP credit for stats or college
math should complete college level biostats.",,,,,,,
AL,University of Alabama School of Medicine,Computer Science,,N,,,,,,,,,,,,,
AL,University of Alabama School of Medicine,Genetics,,N,,,,,,,,,,,,,
AL,University of Alabama School of Medicine,Humanities,,N,,,,,,,,,,,,,
AL,University of Alabama School of Medicine,Inorganic Chemistry,,,,,,,,,,,,,,,
AL,University of Alabama School of Medicine,Organic Chemistry,,,,,,,,,,,,,,,
AL,University of Alabama School of Medicine,Physics,Required,N,8,,Y,Y,Y,,,,,,,,
AL,University of Alabama School of Medicine,Psychology,,,,,,,,,,,,,,,
AL,University of Alabama School of Medicine,Social Sciences,,,,,,,,,,,,,,,
AL,University of South Alabama College of Medicine,Biology,Required,Y,8,Y,C,Y,Y,"Pass/Fail is is accepted for the Spring semester of
2020 only. Online is accepted for Spring, Summer
and Fall semesters of 2020. Online will be
considered on a case by case basis for Spring of
2021.",,,,,,,
AL,University of South Alabama College of Medicine,Biology/Zoology,,N,,,,,,,,,,,,,
AL,University of South Alabama College of Medicine,Calculus,,N,,,C,C,Y,,,,,,,,
AL,University of South Alabama College of Medicine,College English,Required,N,6,Y,C,C,Y,"Pass/Fail is accepted for the Spring semester of
2020 only.",,,,,,,
AL,University of South Alabama College of Medicine,College Mathematics,Required,N,6,Y,C,Y,Y,"Pass/Fail is accepted for the Spring semester of
2020 only. Online is accepted for the Spring,
Summer and Fall semesters of 2020. Online will be
considered on a case by case basis for Spring of
2021.",,,,,,,
AL,University of South Alabama College of Medicine,Computer Science,,,,,C,,,,,,,,,,
AL,University of South Alabama College of Medicine,Genetics,,,,,C,,,,,,,,,,
AL,University of South Alabama College of Medicine,Humanities,Required,N,3,Y,C,C,Y,"Pass/Fail is accepted for the Spring semester of
2020 only.",,,,,,,
AL,University of South Alabama College of Medicine,Immunology,Recommended,,,,C,,,,,,,,,,
AL,University of South Alabama College of Medicine,Inorganic Chemistry,Required,Y,8,Y,C,Y,Y,"Pass/Fail is accepted for the Spring semester of
2020 only. Online is accepted for the Spring,
Summer, and Fall semesters of 2020. Online will be
considered on case by case basis for Spring of
2021.",,,,,,,
AL,University of South Alabama College of Medicine,Organic Chemistry,Required,Y,8,Y,C,Y,Y,"Pass/Fail is accepted for the Spring semester of
2020 only. Online is accepted for the Spring,
Summer and Fall semesters of 2020. Online will be
considered on a case by case basis for Spring of
2021.",,,,,,,
